"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"240",1946-06-01,-0.0389,-0.0153,-0.0059,0.0003,1946.0,6.0,-0.0252,1946-06-28
"241",1946-07-01,-0.0269,-0.0206,0.0004,0.0003,1946.0,7.0,-0.001,1946-07-31
"242",1946-08-01,-0.0644,-0.0178,0.006,0.0003,1946.0,8.0,-0.0003,1946-08-30
"243",1946-09-01,-0.1017,-0.0441,-0.0196,0.0003,1946.0,9.0,0.0074,1946-09-30
"244",1946-10-01,-0.0144,0.0009,0.0344,0.0003,1946.0,10.0,0.0097,1946-10-31
"245",1946-11-01,-0.0001,-0.004,0.0152,0.0003,1946.0,11.0,0.002,1946-11-30
"246",1946-12-01,0.0496,0.0006,-0.0138,0.0003,1946.0,12.0,-0.001,1946-12-31
"247",1947-01-01,0.0125,0.0218,-0.0073,0.0003,1947.0,1.0,-0.0644,1947-01-31
"248",1947-02-01,-0.0108,0.0068,0.0014,0.0003,1947.0,2.0,-0.0049,1947-02-28
"249",1947-03-01,-0.0167,-0.0161,0.0061,0.0003,1947.0,3.0,0.0406,1947-03-31
"250",1947-04-01,-0.048,-0.0397,0.0085,0.0003,1947.0,4.0,0.0505,1947-04-30
"251",1947-05-01,-0.0097,-0.0326,0.0034,0.0003,1947.0,5.0,0.0333,1947-05-29
"252",1947-06-01,0.0529,-0.0031,-0.006,0.0003,1947.0,6.0,-0.0185,1947-06-30
"253",1947-07-01,0.0414,0.0143,0.0282,0.0003,1947.0,7.0,-0.0342,1947-07-31
"254",1947-08-01,-0.0174,0.003,0.0016,0.0003,1947.0,8.0,0.0338,1947-08-29
"255",1947-09-01,-0.0054,0.0164,0.0136,0.0006,1947.0,9.0,-0.0002,1947-09-30
"256",1947-10-01,0.0247,0.0051,0.0008,0.0006,1947.0,10.0,0.0134,1947-10-31
"257",1947-11-01,-0.0197,-0.0174,0.0106,0.0006,1947.0,11.0,0.0423,1947-11-29
"258",1947-12-01,0.03,-0.0248,0.0369,0.0008,1947.0,12.0,0.036,1947-12-31
"259",1948-01-01,-0.0393,0.0249,0.0138,0.0007,1948.0,1.0,-0.0429,1948-01-31
"260",1948-02-01,-0.0438,-0.0171,0.0007,0.0007,1948.0,2.0,0.0147,1948-02-28
"261",1948-03-01,0.0807,0.0013,0.0449,0.0009,1948.0,3.0,-0.0019,1948-03-31
"262",1948-04-01,0.0365,-0.0166,0.041,0.0008,1948.0,4.0,0.0406,1948-04-30
"263",1948-05-01,0.073,0.0093,-0.0123,0.0008,1948.0,5.0,0.0238,1948-05-28
